"zcta","tot_pop","white","black","alaskan_native","asian","pacific_islan","other","mixed_race"
"37325",1646,1618,0,0,2,0,12,28
"37326",547,531,7,0,0,0,0,18
"37327",11569,11244,64,4,0,0,13,488
"37328",1408,1401,0,0,0,0,0,14
"37329",5877,5797,3,0,13,12,14,76
"37330",6639,6182,149,0,19,24,23,484
"37331",6849,6221,254,70,0,0,1,606
"37332",2497,2377,10,0,0,0,0,220
"37333",474,474,0,0,0,0,0,0
"37334",23398,20028,2151,17,154,0,156,1784
"37335",2626,2585,24,7,9,0,0,2
"37336",4726,4445,144,44,15,0,30,96
"37337",1330,1329,0,0,0,0,0,2
"37338",2983,2764,78,12,0,0,40,178
"37339",2110,2025,0,0,0,0,3,164
"37340",480,462,0,0,18,0,0,0
"37341",12010,10188,1144,85,52,0,282,518
"37342",4286,4082,6,0,12,0,160,52
"37343",42120,37116,2212,124,1256,0,138,2548
"37345",2715,2451,102,1,7,0,120,68
"37347",8135,7229,501,6,22,0,65,624
"37348",785,785,0,0,0,0,0,0
"37350",2013,1982,18,0,7,0,0,12
"37351",318,285,33,0,0,0,0,0
"37352",3440,3200,107,16,116,0,1,0
"37353",4921,4668,18,62,0,0,153,40
"37354",17029,16304,214,69,0,0,157,570
"37355",27203,24587,937,8,276,13,473,1818
"37356",2680,2321,32,0,42,0,0,570
"37357",5633,4838,318,26,20,0,38,786
"37359",1033,879,54,28,0,1,0,142
"37360",2042,1801,8,49,2,0,0,364
"37361",1763,1645,0,37,0,0,0,162
"37362",3178,3063,0,0,0,0,5,220
"37363",41503,35713,3760,39,422,0,147,2844
"37365",1263,1238,0,5,0,0,0,40
"37366",991,922,0,0,0,0,0,138
"37367",12045,10541,1091,50,27,0,70,532
"37369",693,552,79,0,0,0,61,2
"37370",4965,4816,11,0,118,0,14,12
"37373",3107,3074,10,0,0,0,23,0
"37374",1886,1833,0,0,0,0,0,106
"37375",4026,3639,124,0,81,0,5,354
"37376",439,423,0,0,0,0,0,32
"37377",15496,14800,125,22,197,114,0,476
"37379",28115,27355,254,34,19,0,27,852
"37380",6505,5769,460,5,94,0,0,354
"37381",9574,9309,60,0,0,0,13,384
"37385",9292,8656,8,1,24,0,123,960
"37387",3358,3007,47,7,0,0,8,578
"37388",25462,22958,1431,0,306,0,307,920
"37391",1474,1429,0,0,0,0,0,90
"37394",120,94,24,0,0,0,0,4
"37396",221,221,0,0,0,0,0,0
"37397",10101,9828,138,1,0,0,26,216
"37398",15020,13280,982,12,29,0,265,904
"37402",4100,1510,2250,11,58,0,0,542
"37403",7484,5798,1242,8,148,24,14,500
"37404",12168,5386,5865,12,74,0,314,1034
"37405",18231,15365,892,24,825,0,198,1854
"37406",14259,2772,10905,0,140,8,104,660
"37407",11126,5717,4065,0,0,0,779,1130
"37408",2033,1420,535,0,35,0,29,28
"37409",3399,2410,338,0,155,0,0,992
"37410",3709,286,3318,0,0,0,9,192
"37411",16801,7575,8195,29,75,7,229,1382
"37412",21220,17116,2758,11,293,0,501,1082
"37415",23693,20602,1588,24,366,0,333,1560
"37416",15307,7760,6868,9,545,0,1,248
"37419",6557,5743,481,0,224,0,0,218
"37421",53050,35915,11285,79,2482,0,1542,3494
"37601",35963,32070,1687,298,412,0,395,2202
"37604",36203,30108,2880,50,1067,20,576,3004
"37614",1909,1441,342,10,70,0,0,92
"37615",22064,20988,161,62,311,0,0,1084
"37616",5101,4893,57,3,90,58,0,0
"37617",14596,14048,120,70,10,0,62,572
"37618",13592,13029,100,31,21,0,152,518
"37620",37760,35028,787,197,161,12,409,2332
"37640",3494,3406,0,33,15,0,0,80
"37641",9491,9131,51,3,0,0,116,380
"37642",14658,14018,97,47,91,71,24,620
"37643",33413,31838,616,68,286,22,149,868
"37645",5080,4881,61,0,15,0,0,246
"37650",12960,12428,18,0,59,0,213,484
"37656",3423,3361,0,0,0,0,19,86
"37657",955,955,0,0,0,0,0,0
"37658",4027,3994,3,0,3,0,3,48
"37659",27813,26569,354,0,341,0,70,958
"37660",39638,36211,1557,40,296,21,304,2418
"37663",13672,13381,78,12,64,0,17,240
"37664",28040,26399,432,38,245,74,105,1494
"37665",5202,5057,54,0,3,0,0,176
"37680",485,485,0,0,0,0,0,0
"37681",6446,6245,47,0,31,0,6,234
"37682",577,517,12,0,10,0,0,76
"37683",13496,12452,556,70,39,0,36,686
"37686",8470,8039,26,12,277,0,44,144
"37687",4428,4310,51,0,0,0,1,132
"37688",1012,961,0,45,0,0,0,12
