"store_name","store_id","review_count","ratings","categories","food_desert"
"Rule the Roost","c6FCCTnBUF-hGjnj9U_sLg",182,4,"chickenshop,hotdogs,sandwiches",1
"In-N-Out Burger","CBSlHNiYdPAdbRkpkrnFuA",67,4,"burgers,hotdogs",1
"American Deli","tAtoIBZnkfq4DHHzRG-Guw",2,1,"chicken_wings,hotdogs,tradamerican",1
"Burger King","k6b8xuO5fgU5YadJLw61wA",4,1.5,"burgers,hotdogs",1
"Church's Chicken","21VJuZYtk6Pczs_pJLOSuA",3,2,"chicken_wings,hotdogs",1
"Pizza Hut","rOJPnhUgamx4HzUC7wUaxA",3,2.5,"pizza,chicken_wings,hotdogs",1
"McDonald's","EJ4EIA2HvkfwrKsVC4BSpQ",9,2,"burgers,hotdogs,coffee",1
"In-N-Out Burger","yBe_Qy_7cBGlT5HNA6PMmQ",344,4,"burgers,hotdogs",1
"Funnel Cakes & Gelato","43wJY5Adga2RAu6MYN4pWQ",116,4,"desserts,hotdogs,burgers",1
"UNICORNDOG","-RVCg4C_KvSVQrDSRCijJQ",84,4,"hotdogs",1
"Jersey Mike's Subs","K_edBvABPiJs5W38o8LgIQ",57,3.5,"hotdogs,delis,sandwiches",1
"Blaze Pizza","xHWAdOadJOhQ5JiVXURQkg",418,4,"pizza,hotdogs",1
"Famous Uncle Al's","5fUysHty_hyXevjk3sZ-_A",78,3.5,"hotdog,hotdogs,tradamerican",1
"Krispy Krunchy Chicken","FEugWd_dMYmoVRik2CsbuA",70,4,"hotdogs,cajun",1
"Go Bird","_5RHkqtiD8b52SnCG7saHg",40,4,"chickenshop,tradamerican,hotdogs",1
"MOD Pizza","8R7mPbNorf2dauuMY9ywRg",140,4,"hotdogs,pizza",1
"Lamia's Crepes","s55DvGGZJPPg4-IoezIPGA",185,4.5,"creperies,french,hotdogs",1
"Jimmy John's","wZcJlm9LHLoUjTEoxwg6sw",60,3.5,"sandwiches,delis,hotdogs",1
"QuikTrip","8YNNLcP1n2FFAVyUvSnLJA",20,4.5,"servicestations,convenience,hotdogs",1
"Oriental Express","8H8m4Y4BN4DXbnJwMtKZyQ",75,3,"hotdogs,chinese,asianfusion",1
"In-N-Out Burger","Z92_qh2XK5NryO7FeKhrPg",256,4,"burgers,hotdogs",1
"Frosty Drive N","t1bW9WbHj5fIq7ypAjjl3Q",337,4,"burgers,hotdogs,icecream",1
"Salad and Go","eI8PuSkycWDpbe7fBgJ1bg",188,4,"salad,breakfast_brunch,hotdogs",1
"In-N-Out Burger","W2CzAePJakvARgoQuohbOA",553,4,"hotdogs,burgers",1
"Maskadore's Taco Shop","lENkF6Cgd9WzUDBcuZcAPA",354,4.5,"mexican,hotdogs,tex-mex",1
"Two Hands Seoul Fresh Corn Dogs","-QM6a462ajnLKAZhp0meFQ",295,4,"hotdogs,korean,hotdog",1
"Micky's Hot Dogs","OsuBqr2L0-5W8LGAsg-p8g",158,4,"hotdog,mexican,hotdogs",1
"Five Guys","mPtJkadDKEWz36KHS7wOog",18,4.5,"burgers,hotdogs",1
"Chick-fil-A","GZhdhlCvZq-R2XbKi1Mihw",33,4,"hotdogs,chickenshop",1
"Cook Out - Bowling Green","TqG8HRQYiHQ_V6v213-aKQ",48,3.5,"burgers,hotdogs,hotdog",1
"Blaze Pizza","LO5IlzsO3UpyM2mnqbxpRg",89,4,"pizza,salad,hotdogs",1
"La Placita","hfnQz8aIDqrwLSp9_5BXxw",10,5,"hotdogs,mexican,grocery",1
"Chipotle Mexican Grill","zLEOF8Uacc26cdo9Zid6Gw",30,3.5,"mexican,hotdogs",1
"Jersey Mike's Subs","YuIAMn0O-DFLdJBwaBiPqA",20,3.5,"hotdogs,sandwiches,delis",1
"Raising Cane's Chicken Fingers","5qsCJP6VM3ibRcS5zv5xOQ",21,4,"hotdogs,chicken_wings",1
"Raising Cane's Chicken Fingers","Hkrb7dWEvqpr0MSnH_mvcg",31,4.5,"hotdogs",1
"Raising Cane's Chicken Fingers","VW6kBH8uwuqbl70FjynpUg",42,4,"hotdogs",1
"Chipotle Mexican Grill","4j8Ek5ArO4PdfQ5Bij15yQ",19,4.5,"mexican,hotdogs",1
"Chick-fil-A","Asc-QZHvea5LgrwRxvokkQ",44,3.5,"hotdogs,chickenshop",1
"Southern Classic Chicken","LHNwmq6zUudB4PMWymIPYA",28,4.5,"hotdogs",1
"Happy Belly's","1gGIyavZO9SdG4L36APe7w",36,4.5,"icecream,newamerican,hotdogs",1
"Griff's Hamburgers","6E_0OtCbjxVPIigcAZHrkA",21,4.5,"burgers,hotdogs",1
"Chick-fil-A","ZXECAH7Hiao--u0mrTeOSQ",2,4,"hotdogs,chickenshop",1
"Chick-fil-A","sQDU6mjXXHpET-pOELO6Jw",15,3,"hotdogs,chickenshop",1
"Jimmy John's","n0FX-mHjTxkqbhjY0HX-2A",2,4.5,"delis,sandwiches,hotdogs",1
"Cook Out","ru-azs9HG9zHGP1Sd_-wqA",33,3,"burgers,hotdogs,hotdog",1
"Shrimp Boat","oA_heyxrtx03NEEIPpi1IQ",7,3.5,"seafood,hotdogs",1
"Burger King","lHogMf6zPadgTTB_bJbpuA",8,2.5,"burgers,hotdogs",1
"Taco Bell","13kLHG39nO6CX9cxKC34Pw",15,2.5,"mexican,hotdogs",1
"McDonald's","25nQIyDppFEPK2ifGol8aA",6,2.5,"coffee,burgers,hotdogs",1
"A&W Restaurant","qXGGzpPQpJlxJoFPiaKUWQ",14,3,"hotdog,hotdogs,burgers",1
"Burger King","Xxp5A37DTNZbOXl8aEFnOA",14,2.5,"burgers,hotdogs",1
"Carl's Jr","X5lCevcR3HwaKOuuNPka3Q",21,3,"hotdogs,burgers",1
"Sonic Drive-In","m5s5IUxkbdJjTcKDrGLUUw",27,1.5,"burgers,hotdogs,icecream",1
"Taco Bell","KGmaRTByii1S1tEVaDheJw",21,2.5,"hotdogs,mexican",1
"Arby's","JKiV5rj-kh6BlWxLwT4R3A",11,3,"hotdogs,sandwiches",1
"Dairy Bar","uUpk9zqAjMjQr4j6753brQ",68,4,"burgers,hotdogs,icecream",1
"Raising Cane's Chicken Fingers","31cYIb9OG7wJJMazj8u8VA",18,4,"hotdogs,chicken_wings",1
"Chick-fil-A","6BfrynkYva7bQHoUwzIDDA",34,3,"hotdogs,chickenshop",1
"Jimmy John's","7IpAKhjCX5PxkeMElPNBJg",8,4.5,"sandwiches,hotdogs,delis",1
"Chick-fil-A","e9uy5KUkirG6DMSRrBn8ow",43,3.5,"hotdogs,chickenshop",1
"Krazy Kajun Seafood","IWI7Tf5e_fsvD2gN8ic9vg",69,4,"seafood,cajun,hotdogs",1
"KFC","R6VOv8fGCBXW6pS-wwZlCg",5,3,"hotdogs,chicken_wings,chickenshop",1
"McDonald's","HibHjAnLb6V1GZzilp4_Aw",18,2,"hotdogs,burgers,coffee",1
"Sonic Drive-In","1z0OqPzZnvcRjntKkvIUHg",6,3,"hotdogs,burgers,icecream",1
"Captain D's","71O1fRdaaGKuzZM9O5OQ4A",6,3.5,"seafood,hotdogs,tradamerican",1
"Zaxby's Chicken Fingers & Buffalo Wings","hensXvlVLuMpxwz890E3vw",16,3,"chicken_wings,hotdogs,salad",1
"McDonald's","8tZ5840Fqb-cIjDZhdLE5w",34,2,"hotdogs,burgers,coffee",1
"Dairy Queen Grill & Chill","znCMOGqUBxnMBEguv1mKzw",36,1.5,"hotdogs,icecream,burgers",1
"Firehouse Subs","RzzAVUdKTxAg9nZ8dMyaUg",72,3,"delis,sandwiches,hotdogs",1
"Pieology Pizzeria, Springfield","ArX9hk9qcL_OzVJsd4wP3g",95,3,"pizza,hotdogs",1
"Five Guys","Rco3UThQ1v4wqs6BChtKAg",117,3,"burgers,hotdogs",1
"Gyromania Grill","pD1hDjFJmtpRuygJTuPxEw",133,3.5,"greek,mediterranean,hotdogs",1
"Fired Up Pizza West","05F4rXbA8qejjlLH-FCPoA",35,3.5,"pizza,salad,hotdogs",1
"PDQ Wellington","nV9kzZOv7_Ec7uo1eNzGuQ",96,4,"hotdogs,sandwiches,chickenshop",1
"Captain D's","ze9sfA2r4sPzFdafMN5nQg",8,4.5,"hotdogs,tradamerican,seafood",1
"Blaze Pizza","Kb66PnB3z6rvCLcSx3ZTow",154,4,"salad,pizza,hotdogs",1
"Chick-fil-A","hJs8ECyGicfQ-pwpy0wY7g",10,4.5,"hotdogs,chickenshop",1
"Taco John's","RMIL0czeCRO-lQMRmWy4ag",3,4.5,"mexican,hotdogs",1
"Chick-fil-A","QLPOHrnTk5dVsic2vbG_1A",20,4,"hotdogs,chickenshop",1
"Culver's","u18ESby84xHTIMB1ohj9CA",12,4.5,"hotdogs,burgers,icecream",1
"Tastee Inn & Out","Zdao5pM0R8ckE16S5Jt3jw",38,4,"tradamerican,hotdogs,icecream",1
"Raising Cane's Chicken Fingers","kCWxKO56GWp83ckNmTGoGQ",18,3,"hotdogs,tradamerican",1
"Whataburger","k2cHClnATgQLpSPd8kR9_Q",48,2,"burgers,hotdogs",1
"Bush's Chicken","_Xe-MfjWVbOpweDjy4sQ6Q",13,3.5,"hotdogs",1
"Circle K","NxTYsIJsGR-ninFBrFcH6Q",1,5,"convenience,servicestations,hotdogs",1
"Dairy Queen Lacy Lakeveiw","L_NrebaXvMejw-3xXi4cyg",6,3,"hotdogs,icecream",1
"Papa Johns Pizza","aWdAChcHMAUnV66su7G1ug",16,2.5,"pizza,chicken_wings,hotdogs",1
"Taco Bell","jMQx5_Fr6yb3iMvJiQHTIg",29,2,"hotdogs,mexican",1
"Jimmy John's","QpHnHJeiaf3DHFEX229O_g",20,2.5,"sandwiches,delis,hotdogs",1
"Cook Out","hQG-ftMZY-PDo4i-3bG1_w",26,2.5,"hotdogs,burgers,hotdog",1
"Chick-fil-A","P1bJMHZRRRbzj8ZFYTbLjw",43,3,"hotdogs,chickenshop",1
"Chipotle Mexican Grill","4j8Ek5ArO4PdfQ5Bij15yQ",19,4.5,"mexican,hotdogs",1
"Chick-fil-A","Asc-QZHvea5LgrwRxvokkQ",44,3.5,"hotdogs,chickenshop",1
"Southern Classic Chicken","LHNwmq6zUudB4PMWymIPYA",28,4.5,"hotdogs",1
"Happy Belly's","1gGIyavZO9SdG4L36APe7w",36,4.5,"icecream,newamerican,hotdogs",1
"Griff's Hamburgers","6E_0OtCbjxVPIigcAZHrkA",21,4.5,"burgers,hotdogs",1
"Famous Uncle Al's","5fUysHty_hyXevjk3sZ-_A",78,3.5,"hotdog,hotdogs,tradamerican",1
"Krispy Krunchy Chicken","FEugWd_dMYmoVRik2CsbuA",70,4,"hotdogs,cajun",1
"MOD Pizza","8R7mPbNorf2dauuMY9ywRg",140,4,"hotdogs,pizza",1
"Perfectly Frank","UTCQziQvujX1xOb1w_5CPw",116,4.5,"breakfast_brunch,hotdogs,hotdog",1
"Lamia's Crepes","s55DvGGZJPPg4-IoezIPGA",185,4.5,"creperies,french,hotdogs",1
"Parrilla Express","0OQ9C0sIR6k__12VUoU_1w",59,3.5,"mexican,hotdogs",1
"Jacky's Hot Dogs","Jd8sMY2t_MNjocTU1WtW8Q",116,4.5,"hotdogs,hotdog",1
"Stella's Baseball Batting Range","ejWBfUlErljlfI0ISV1YSw",71,4.5,"hotdogs,battingcages",1
"Henry's Drive-In","44b4Spa8dkzQ5-Uvm_3zTA",92,4,"hotdogs,hotdog",1
