"store_name","store_id","review_count","ratings","categories","food_desert"
"Publix","seWLsOP4t2CKb6aDPx_0Iw",8,4.5,"grocery",1
"Asian Supermarket","A6DYUnX3WLHCopQ8llUI_A",22,4,"grocery",1
"Whole Foods Market","1tqWKssQRbEZof2fqKi4sg",89,3.5,"grocery,healthmarkets,organic_stores",1
"ALDI","8X91DmClrxQUffLup3XeuA",37,3.5,"grocery,markets,organic_stores",1
"Tom Thumb","bTtQmonLc3i_ux7rt8H5XA",48,3.5,"grocery",1
"Market Street","8UvJH-Fn5PZKH4Dz2tDZPA",98,4,"grocery,gourmet,drugstores",1
"Whole Foods Market","2UXwZVlerJWEp0313b-84w",142,3.5,"grocery,healthmarkets,coffee",1
"Kroger Marketplace","rOJaS7AsvL180_RDR5ksdA",44,3.5,"grocery,deptstores",1
"Lidl","Ig-Mmf8y-PKB0v-IVke7yA",23,4,"bakeries,grocery,petstore",1
"Harris Teeter","fpEzpAmv18jRT6gwOc183g",47,3.5,"grocery,beer_and_wine,pharmacy",1
"ALDI","6L8vFMZD7Eri-gtOGqHKig",17,4.5,"grocery,markets,organic_stores",1
"Kroger Marketplace","sp_IB1Ed8P5UnmS4RGrntQ",41,4,"grocery,deptstores",1
"Howdy Doody","Qdn0cLgAjhfeT_gYDlKsjg",3,4.5,"convenience,grocery,beer_and_wine",1
"Albertsons","8d-bFsLBGGFTTV10pMmH2Q",18,3.5,"grocery",1
"Sprouts Farmers Market","-c9rSt6sp7IBxrPhLkU4uA",28,4,"grocery,healthmarkets,organic_stores",1
"WinCo Foods","YcAnW2DUgBz-BAoH234HMA",47,4,"grocery,organic_stores",1
"Natural Grocers","2Lytqr9to9T8JqTWGhHZTA",36,4.5,"grocery,vitaminssupplements,organic_stores",1
"Main Street Harvest","uxKCPOTOks4Wh-Cf-5ki2A",9,5,"grocery,meats",1
"American Discount Foods","NphZ_TJp1YF-ykEyp5dOFw",152,4,"grocery",1
"Trader Joe's","LBg8fqw9z6uCdTrVq8rihA",167,4.5,"grocery",1
"Shamy Market & Bakery","E2phfNtA9Zq52AOyMwnohg",70,4.5,"bakeries,grocery,mediterranean",1
"All Pierogi Kitchen & Euro Market","V2oe1HVgNK0He9Mf3Q17AA",579,4.5,"grocery,polish,ukrainian",1
"Mediterranean Food Store","D0NhxYTUKd9WaKHBlpAUAg",5,3.5,"grocery",1
"International Supermarket & Cafe","fBaEPB0sv4HF5K0grJ-A5Q",1,4,"grocery",1
"Kroger","U9Y0nMsyuXUCIS40a4k9-A",9,2,"grocery",1
"Meijer","Rywx-An2R5GAaytR-vE7nA",20,3.5,"grocery",1
"La Placita","hfnQz8aIDqrwLSp9_5BXxw",10,5,"hotdogs,mexican,grocery",1
"Hy-Vee","1Gy2QTmCLsP_mvcy2fOe6w",27,4,"grocery",1
"Smoking Gun Jerky","Frdz6seCKqFwiYPxlY3PiA",7,4.5,"grocery,meats",1
"Whole Foods Market","1otkq8lQvH09IOSbOd3wJg",34,4,"grocery",1
"Natural Grocers","444UNHtYgIw9P25lxXkQHQ",18,4.5,"grocery,vitaminssupplements,organic_stores",1
"Suji's Indian Grocery","oSZ97jU_c2MTZNnAWdXRqA",20,4.5,"grocery",1
"Peters Grocery & Liquor","j6zl1NmsNkH_ugyCj5UouA",9,4,"grocery",1
"Whole Foods Market","ZB32uNeSxqPmj1zHlA7CuQ",37,4,"grocery,healthmarkets,organic_stores",1
"Fairfield Market & Cafe","q5QChhGNVFHH_dLIpl1ZZw",18,5,"grocery,cafes",1
"Al Noor Supermarket & Restaurant","I9Er4dtqWvunjb7gD9BtOQ",12,4.5,"grocery,greek,mideastern",1
"Monjunis Italian Cafe and Grocery","3kGlYNys7IvJ5T6rmnIX7g",84,3.5,"italian,grocery",1
"Dollar General","ma1j_6KmMpO8k7Y_4yzjnw",1,4,"discountstore,grocery",1
"Jet Food Stores 61","sA_ouO96qYwrTBiHDuFzCQ",1,5,"grocery",1
"ALDI","_Xur5ZkkmYJ3VyU8mBP5yQ",3,4.5,"markets,grocery,organic_stores",1
"Golden Pantry","gbsCVtukcqFAdWhs0-p42g",3,4,"convenience,grocery",1
"Piggly Wiggly","6hhCk4UMqIfMhNzruZ8CSQ",4,3,"grocery",1
"Hannaford Supermarket","knoBxF3GIOjPpAq3YYOa2g",9,4,"grocery",1
"ShopRite of Hudson","6dNcVH6JIEiie0o_JutMFg",18,3,"grocery,bakeries,delis",1
"Hudson Polish Delicatessen","TBdXjgS7MX4rezTXb_9bvA",5,5,"grocery,delis",1
"West Indies Natural Food","ZZ__UOv1vMjozKt71DfV3g",6,4.5,"grocery",1
"Kitty's Market","Ogm4d2z2LeKyZU_13Fb8iA",34,4.5,"grocery,cafes,chickenshop",1
"City Market Food & Pharmacy","EhjwK8yzhAYMn8QRxtwQ-Q",10,3.5,"delis,grocery",1
"BUMPS MARKET","3_W8jxxEd8mzBJLjiDdxGA",8,4.5,"grocery,beer_and_wine,convenience",1
"Jack's Market","hGe9nvQiZL9XjJszE6-JaQ",7,4.5,"grocery",1
"Der Markt Food Store","OhWYUWDQO3C6ASSayvLlPA",18,3.5,"grocery",1
"Charlie's Market","6uJq4lj02fN3vsMEPfoSPw",10,5,"grocery,icecream",1
"Mercado De Familia","2CNiH1lLlkiCaNlzWOCrIg",3,4,"grocery",1
"H-E-B Plus","zB4roPYlAR_A0rN7N6ufxQ",16,3.5,"grocery",1
"Basic Foods","dLr2pd0mj8inDARox3XPgQ",19,3.5,"grocery",1
"H-E-B","_LGQRgbP0LR2dzx5ytHhZg",9,4,"grocery",1
"H-E-B Pharmacy","uU1-LUbELYfHLfe0pkaDqw",25,4,"grocery",1
"G & L Grocery","LzuWZVVDTxZAr-INDvu1Lg",1,5,"grocery,beer_and_wine,servicestations",1
"Publix Super Markets","MnGQB5ExMX6KQGKSDcPs8A",7,4.5,"grocery",1
"The Fresh Market","iNKKbNYRkbFq5HPnzX4V1w",40,4,"grocery",1
"Store","jFjEEuMOiMVV0czI5yDEZw",1,3,"grocery",1
"Walmart Supercenter","Al4kJOgY-W-0biR5mJMknQ",5,3.5,"deptstores,grocery",1
"Lee's Highway 58 Market","iUVxTsa1I2vP9wDNnF707Q",7,4.5,"convenience,grocery",1
"Get-N-Go Deli","T8zr_OEOLcPhsIfDpadA5Q",6,4.5,"delis,grocery",1
"Albertsons","ZDQbkVsPrYfjsq5OHoDCjQ",20,2.5,"grocery",1
"Grocery Outlet Bargain Market","hnZqLYvtC3j2BzCs9K1KnA",29,3.5,"grocery,discountstore",1
"Winco Foods","qiefLhFG_QzVISYnqNY5Wg",33,3.5,"wholesale_stores,grocery",1
"Planet Ozone","6YXxq_FA2kmfO6PFNU_6Bw",47,4.5,"grocery",1
"Tausha's Seafood","WlYUNHLUdPmbDFC2j7spRg",48,4.5,"grocery,seafoodmarkets",1
