"","Year","LocationName","Geolocation","TotalPopulation","OBESITY","DEPRESSION","CANCER","CHOLSCREEN","CHD"
"64",2019,1072,"POINT (-72.41838688 42.45736369)",1478,28,22.2,7.2,93,4.8
"65",2019,2747,"POINT (-71.01627693 41.66782324)",22927,27.5,23.1,6.2,86.6,4.8
"66",2019,1440,"POINT (-71.98622459 42.5873153)",20347,33.3,22.3,7.7,89.3,6.8
"67",2019,1343,"POINT (-72.98107826 42.65440414)",75,24.6,21.6,8.3,87.9,7.8
"68",2019,2908,"POINT (-71.43686992 41.83912549)",37467,32,22.1,5,86.9,4.9
"69",2019,1922,"POINT (-70.91452786 42.75870271)",3108,24.9,19.5,7.7,93.2,5.3
"70",2019,1103,"POINT (-72.592356 42.10280736)",2479,37.2,23,4.9,84,7.4
"71",2019,2828,"POINT (-71.55945564 41.87794428)",7704,27.5,21.1,9.8,94.3,6.7
"72",2019,2825,"POINT (-71.72613738 41.78110412)",5377,29.4,22.2,7.6,93.5,5.3
"73",2019,2833,"POINT (-71.77812523 41.48724531)",784,27.7,21.8,8,92.6,6
"74",2019,2452,"POINT (-71.21960615 42.39356361)",14238,21.2,20.2,6,87.2,4.5
"75",2019,1247,"POINT (-73.07999006 42.69547983)",16087,26.8,22.9,7.7,87.7,7.4
"76",2019,1609,"POINT (-71.84479975 42.29493052)",22421,30.9,21.7,5.4,83.3,5.4
"77",2019,1230,"POINT (-73.3287365 42.19247934)",8430,25,20.1,9,91.9,7
"78",2019,1719,"POINT (-71.51779227 42.48837798)",4996,21.9,18.4,6.8,93.4,4.3
"79",2019,1226,"POINT (-73.14990913 42.47922489)",6945,24.5,20.5,8.8,92.1,6.4
"80",2019,2642,"POINT (-69.98036792 41.8421233)",4937,23.6,18.8,11.2,94.7,7.9
"81",2019,1057,"POINT (-72.32412787 42.09167493)",8534,26.6,23.3,7.5,91.4,5.5
"82",2019,1106,"POINT (-72.57174807 42.04793591)",16021,22.6,19.8,9.3,94.3,5.7
"83",2019,1236,"POINT (-73.3766496 42.26647754)",1509,25.6,20.7,8.8,92.1,6.9
