"zcta","year","population","aland10","count_sales_445110","popden_sales_445110","aden_sales_445110"
1341,2017,1743,35.71549,1,0.5737234,0.0279991
1342,2017,1759,17.84765,1,0.5685049,0.0560298
1343,2017,46,4.86752,0,0,0
1344,2017,1518,13.61094,0,0,0
1346,2017,464,21.35637,0,0,0
1347,2017,126,0.5788339,0,0,0
1349,2017,1231,7.688648,1,0.8123477,0.1300619
1350,2017,86,10.71038,0,0,0
1351,2017,2209,20.91989,1,0.4526935,0.0478014
1354,2017,1604,13.77001,0,0,0
1355,2017,917,47.36277,0,0,0
1360,2017,3012,34.26307,1,0.3320053,0.0291859
1364,2017,7819,39.20572,1,0.1278936,0.0255065
1366,2017,1218,40.37817,0,0,0
1367,2017,605,26.53057,0,0,0
1368,2017,1316,41.83942,0,0,0
1370,2017,4032,49.82298,1,0.2480159,0.0200711
1373,2017,4160,24.16933,1,0.2403846,0.0413747
1375,2017,3662,14.22085,1,0.2730748,0.0703193
1376,2017,5096,2.755781,3,0.588697,1.08862
1378,2017,744,34.02592,0,0,0
1379,2017,836,30.20292,0,0,0
1420,2017,40666,30.31285,9,0.2213151,0.2969038
1430,2017,6210,36.94807,1,0.1610306,0.027065
1431,2017,3195,23.66424,1,0.3129891,0.0422579
1432,2017,7703,8.470842,2,0.2596391,0.236104
1434,2017,1712,5.277664,1,0.5841121,0.1894778
1436,2017,3460,9.590004,0,0,0
1438,2017,563,0.5420743,0,0,0
1440,2017,20496,24.03299,6,0.29274,0.2496568
1450,2017,11282,32.77422,4,0.3545471,0.1220471
1451,2017,4630,19.15761,0,0,0
1452,2017,4581,41.05396,1,0.218293,0.0243582
1453,2017,41446,28.47797,12,0.2895334,0.4213783
1460,2017,9754,16.51556,4,0.4100882,0.2421958
1462,2017,11150,26.38802,3,0.2690583,0.1136879
1463,2017,12049,22.58148,1,0.0829944,0.0442841
1464,2017,7572,14.97753,2,0.264131,0.1335334
1467,2017,511,1.888623,0,0,0
1468,2017,4124,21.4039,0,0,0
1469,2017,7454,22.78262,1,0.1341562,0.0438931
1473,2017,7566,35.4398,3,0.3965107,0.0846506
1474,2017,1964,9.930573,0,0,0
1475,2017,10738,42.84755,1,0.0931272,0.0233386
1501,2017,16412,15.46055,5,0.3046551,0.3234038
1503,2017,3098,12.97391,1,0.3227889,0.0770778
1504,2017,9201,11.1098,4,0.4347354,0.3600425
1505,2017,4524,16.05726,1,0.2210433,0.0622771
1506,2017,3406,15.52713,1,0.2935995,0.0644034
1507,2017,13379,42.17942,4,0.298976,0.094833
1510,2017,13855,5.653476,8,0.5774089,1.415059
1515,2017,2123,9.864423,0,0,0
1516,2017,8745,36.76978,2,0.2287021,0.0543925
1518,2017,3490,8.882781,0,0,0
1519,2017,6657,10.91614,0,0,0
1520,2017,15061,18.07816,6,0.3983799,0.3318921
1521,2017,2510,12.28629,0,0,0
1522,2017,3497,16.37991,0,0,0
1523,2017,7735,25.20218,0,0,0
1524,2017,6702,15.98235,0,0,0
1525,2017,227,0.4488164,0,0,0
1527,2017,13521,15.5779,4,0.2958361,0.2567739
1529,2017,3237,4.863702,0,0,0
1531,2017,1247,20.76196,0,0,0
1532,2017,14918,18.47143,8,0.5362649,0.4331013
1534,2017,6262,8.758359,0,0,0
1535,2017,4760,21.26819,2,0.4201681,0.0940372
1536,2017,7709,8.335613,2,0.259437,0.2399344
1537,2017,2337,6.982483,0,0,0
