zcta,mean_income
11042,194239.6154
21723,194181
90275,194050
34102,194000
48304,193877
68010,193828
38139,193826
8559,193799
11559,193721
7624,193718
95129,193669
94611,193602
92127,193601
2478,193502
95124,193498
2142,193473
10913,193394
20814,193329
4650,193233
2199,193135
6371,193063
59081,192968
94588,192945
95135,192944
6414,192835
94555,192815
2061,192810
89519,192479
1467,192459
94118,192308
96821,192296
92091,192201
58755,192156
22947,191927
7853,191896
10987,191883
80108,191820
30305,191699
38569,191636
19010,191504
18938,191503
60614,191363
99516,191131
78739,191001
10708,190835
18923,190710
85255,190676
63038,190560
94404,190559
21146,190531
37215,190503
75078,190429
66221,190401
7040,190383
23103,190340
2445,190159
11596,190103
23113,189994
91105,189980
75022,189841
20841,189809
1949,189768
3586,189682
2630,189678
48025,189586
94043,189539
11509,189507
11557,189333
37027,189233
7960,189226
98033,189220
20171,188933
99023,188933
94574,188872
11932,188800
8801,188785
7711,188648
95420,188578
75230,188452
49636,188420
21042,188415
11743,188349
89411,188325
93563,188239
22046,188017
1945,187953
7023,187945
33483,187841
10545,187766.6167
10018,187702
1922,187605
3847,187543
60175,187489
60564,187462
46077,187445
83011,187324.6667
83012,187324.6667
83013,187324.6667
7750,187320
8241,187261
6001,187080
19355,187043
8553,186856
7446,186841
92673,186832
48374,186617
11768,186606
87005,186451
97221,186288
8853,186262
78703,186195
58625,186186
94060,186177
20895,186054
2806,186023
98005,186020
66850,185825
6117,185763
82944,185732
95054,185715
7069,185636
63105,185593
21032,185380
2725,185370
18902,185218
84098,185216
21104,185170
20833,185146
92210,185080
76820,185038
92037,185009
18925,185003
7645,184907
3768,184852
30342,184846
94110,184753
6090,184729
94085,184672
92060,184656
19333,184554
3870,184550
10986,184493
34134,184431
3227,184403
11803,184400
78067,184288
55347,184281
93923,184206
20158,184182
50061,184076
7649,184068
34228,184056
10017,184005
1985,183885
66209,183869
48168,183828
7626,183753
94502,183523
77056,183393
77441,183309
7933,183242
94303,183192
7302,183174
95051,183107
63141,183050
2186,183000
7751,182960
94583,182899
7675,182843
11960,182810
10594,182791
75093,182662
21662,182623
11217,182618
8202,182563
60047,182373
10543,182293
84329,182107
1740,182013
94111,181880
95125,181865
20141,181814
20008,181804
8551,181795
94403,181768
77059,181700
10016,181643
85266,181640
94550,181637
2837,181598
8073,181395
77094,181372
64655,181199
10917,181181
34242,181125
94517,181019
57767,180977
10012,180973
95837,180953
60069,180587
80111,180231
58843,180227
55386,180128
22307,180087
57232,180064
20617,180014
20882,179961
6752,179892
92887,179874
1730,179793
2056,179735
48070,179658
11937,179537
95043,179453
56659,179450
11023,179424
21714,179355
7738,179332
94086,179331
12504,179156
60654,179014
2032,178944
10983,178863
68527,178837
7869,178821
2332,178657
15479,178635
30306,178625
1984,178589
3844,178577
90067,178513
18929,178478
8730,178465
19350,178426
32082,178335
8833,178274
20175,178260
11804,178258
33629,178207
19707,178168
20105,178162
8033,178029
